IDs,Names,States
240505,Casper College,WY
240514,Central Wyoming College,WY
240709,Cheeks Beauty Academy,WY
240596,Eastern Wyoming College,WY
240620,Laramie County Community College,WY
240666,Northern Wyoming Community College District,WY
240657,Northwest College,WY
240727,University of Wyoming,WY
240693,Western Wyoming Community College,WY
240718,WyoTech,WY
240736,American Samoa Community College,AS
240790,Northern Marianas College,MP
243665,University of the Virgin Islands,VI
24366501,University of the Virgin Islands-Albert A. Sheen,VI
